Código;Município;Estados;Área;Densidadedemográfica;Distânciaàcapital;RendaperCapita2000;ÍndicedeGini2000;Intensidadedapobreza;IDH;Populaçãototal
270020;Anadia (AL);AL;190,3;93,7;62,36006929;85,3;0,6;55,02;0,609;17849
270030;Arapiraca (AL);AL;367,5;506,5;101,8724956;129,21;0,59;49,99;0,656;186466
270040;Atalaia (AL);AL;534,2;75,8;36,44002866;75,91;0,56;53,09;0,594;40552
270010;Água Branca (AL);AL;456,6;42,1;245,6022034;69,94;0,67;67,89;0,597;18660
270050;Barra de Santo Antônio (AL);AL;138,6;81,3;38,28052827;68,4;0,52;56,21;0,594;11351
270060;Barra de São Miguel (AL);AL;76,9;81,8;27,07000668;108,93;0,55;48,35;0,639;6379
270070;Batalha (AL);AL;322,5;45,9;152,2670363;119,85;0,67;49,96;0,609;14799
270080;Belém (AL);AL;48,4;122,3;83,60443101;69,91;0,6;62;0,6;5919
270090;Belo Monte (AL);AL;334,8;20,4;170,1568666;59,4;0,58;61,6;0,565;6822
270100;Boca da Mata (AL);AL;187,4;128;53,20263804;85,01;0,58;53,24;0,626;24227
270110;Branquinha (AL);AL;191,8;59,1;55,85739589;58,42;0,58;58,29;0,513;11325
270120;Cacimbinhas (AL);AL;273,9;34,9;140,6700071;69,76;0,68;67,15;0,558;9552
270130;Cajueiro (AL);AL;124,8;152,1;54,78878154;63,15;0,51;55,42;0,547;18975
270135;Campestre (AL);AL;55,5;111,8;92,94090159;73,04;0,54;56,14;0,582;6223
270140;Campo Alegre (AL);AL;296,3;138,5;68,6867813;66,31;0,52;54,13;0,595;41028
270150;Campo Grande (AL);AL;167,1;54,6;120,1978872;58,51;0,7;70,81;0,547;9134
270160;Canapi (AL);AL;574,3;30,2;213,5752274;43,35;0,69;73,36;0,507;17334
270170;Capela (AL);AL;206,2;90,4;46,92502342;72,18;0,59;58,53;0,569;18693
270180;Carneiros (AL);AL;113,5;58;181,0626843;61,28;0,58;64,75;0,57;6585
270190;Chã Preta (AL);AL;202,1;38,4;76,59528154;62,21;0,59;60,07;0,559;7760
270200;Coité do Nóia (AL);AL;88,9;134,9;92,53563836;62,86;0,58;60,83;0,569;11993
270210;Colônia Leopoldina (AL);AL;295,7;59,2;84,12498792;76,17;0,54;54,42;0,578;17493
270220;Coqueiro Seco (AL);AL;40,4;126,8;8,072861755;94,64;0,6;57,4;0,631;5134
270230;Coruripe (AL);AL;971,4;50,1;70,30794145;92,48;0,58;54,43;0,615;48846
270235;Craíbas (AL);AL;276,4;75,2;113,291005;57,91;0,54;62,93;0,553;20789
270240;Delmiro Gouveia (AL);AL;609,3;70,7;249,7229733;110,1;0,61;55,7;0,645;42995
270250;Dois Riachos (AL);AL;142,3;77,8;152,737894;72,81;0,58;58,88;0,547;11066
270255;Estrela de Alagoas (AL);AL;265,5;61,5;116,4382225;50,61;0,61;67,38;0,545;16341
270260;Feira Grande (AL);AL;156,6;135,8;106,4857161;68,2;0,62;61,39;0,56;21270
270270;Feliz Deserto (AL);AL;92,2;41,7;93,50752783;74,46;0,53;54,03;0,609;3836
270280;Flexeiras (AL);AL;317,1;38,2;43,7251441;64,34;0,52;55,43;0,554;11979
270290;Girau do Ponciano (AL);AL;504,3;58,7;122,2248556;54,85;0,63;68,13;0,535;29574
270300;Ibateguara (AL);AL;255,5;59,2;80,18931572;71,71;0,55;56,67;0,58;15105
270310;Igaci (AL);AL;335;76,4;99,53503495;47,94;0,64;70;0,54;25584
270320;Igreja Nova (AL);AL;429,9;49,8;113,5723604;57,49;0,63;65,99;0,585;21451
270330;Inhapi (AL);AL;375,7;46,6;226,8160951;50,41;0,71;72,09;0,515;17768
270340;Jacaré dos Homens (AL);AL;142,9;40;161,0689664;97,35;0,67;56,05;0,571;5720
270350;Jacuípe (AL);AL;219,9;33,2;96,40221592;57,7;0,58;62,91;0,548;7313
270360;Japaratinga (AL);AL;85,9;80;82,82510268;81,45;0,6;56,02;0,613;6868
270370;Jaramataia (AL);AL;104,1;55,6;138,7938409;68,35;0,51;51,58;0,58;5788
270380;Joaquim Gomes (AL);AL;242;88,7;59,24410409;61,1;0,57;58,28;0,54;21488
270390;Jundiá (AL);AL;120,2;38,4;83,12523277;61,72;0,52;56,54;0,56;4680
270400;Junqueiro (AL);AL;221,6;105,1;86,09238001;81,1;0,6;61,34;0,615;23832
270410;Lagoa da Canoa (AL);AL;103,3;193,4;111,3455498;61,68;0,5;56,33;0,58;19988
270420;Limoeiro de Anadia (AL);AL;335,8;73,8;84,53102084;63,32;0,59;58,74;0,569;24263
270430;Maceió (AL);AL;512,8;1553,9;0;282,99;0,68;48,36;0,739;797759
270440;Major Isidoro (AL);AL;455,8;38,7;137,7622084;62,86;0,57;59,57;0,524;17639
270490;Mar Vermelho (AL);AL;91,9;44,3;75,54347065;71,66;0,59;61,26;0,611;4078
270450;Maragogi (AL);AL;335;65,1;91,8977736;72,43;0,58;58,45;0,619;21832
270460;Maravilha (AL);AL;280,9;48,7;183,3574976;48,21;0,62;68,43;0,563;13687
270470;Marechal Deodoro (AL);AL;363,3;98,6;18,19487041;111,1;0,61;51,83;0,649;35866
270480;Maribondo (AL);AL;172;88;63,22568464;100,25;0,62;55,91;0,636;15145
270500;Mata Grande (AL);AL;923,4;26,4;227,4528234;60,85;0,7;69,86;0,563;25032
270510;Matriz de Camaragibe (AL);AL;329;70,1;61,25818763;65,62;0,51;55,05;0,568;24017
270520;Messias (AL);AL;113,3;105,9;33,56201135;74,34;0,55;55,18;0,598;11990
270530;Minador do Negrão (AL);AL;167,3;32,3;130,1829924;63,66;0,53;59,1;0,569;5399
270540;Monteirópolis (AL);AL;86,4;83,8;165,9008611;80,6;0,73;66,43;0,573;7240
270550;Murici (AL);AL;425,8;57,6;45,94642345;76,96;0,56;52,53;0,58;24671
270560;Novo Lino (AL);AL;186,5;55,6;84,00723826;65,1;0,55;58,32;0,534;10375
270570;Olho d'Água das Flores (AL);AL;184,3;105,3;171,4191521;92,29;0,64;60,04;0,606;19417
270580;Olho d'Água do Casado (AL);AL;324,1;21,8;230,4965714;50,36;0,66;70,56;0,542;7059
270590;Olho d'Água Grande (AL);AL;119;40,7;126,209945;48,35;0,69;73,79;0,544;4847
270600;Olivença (AL);AL;173,6;59,7;160,362471;45,53;0,67;70,92;0,534;10369
270610;Ouro Branco (AL);AL;205,4;49,1;186,252459;66,29;0,61;64,3;0,599;10077
270620;Palestina (AL);AL;49,1;92;174,6102384;62,32;0,59;62,36;0,571;4523
270630;Palmeira dos Índios (AL);AL;462,5;147;102,0030372;117,27;0,6;53,63;0,666;68060
270642;Pariconha (AL);AL;262,7;35,3;253,0956829;52,68;0,66;69,92;0,551;10086
270644;Paripueira (AL);AL;93,1;86,5;30,01581233;85,25;0,58;55,28;0,617;8049
270650;Passo de Camaragibe (AL);AL;188;73;54,45654609;67,88;0,53;58,65;0,563;13755
270660;Paulo Jacinto (AL);AL;108,2;69,2;77,16266679;66,89;0,59;61,63;0,602;7485
270640;Pão de Açúcar (AL);AL;661,8;36,7;186,6408377;85,24;0,73;66,69;0,614;24351
270670;Penedo (AL);AL;690,8;82,1;116,1098563;125,91;0,67;53,15;0,665;56993
270680;Piaçabuçu (AL);AL;242,9;68,5;112,3002335;82,96;0,58;55,98;0,613;16775
270690;Pilar (AL);AL;221,6;140,6;25,50086335;89,04;0,54;51,58;0,604;31201
270700;Pindoba (AL);AL;83,6;35;64,41040669;66,55;0,55;56,68;0,561;2926
270710;Piranhas (AL);AL;409,1;48,9;221,5574994;89,37;0,75;69,61;0,607;20007
270720;Poço das Trincheiras (AL);AL;304,1;43,5;174,4552595;37,61;0,7;76,53;0,499;13222
270730;Porto Calvo (AL);AL;261,3;91,5;78,27516226;68,17;0,56;58,36;0,599;23951
270740;Porto de Pedras (AL);AL;267,3;38,2;74,24988281;52,19;0,62;64,32;0,499;10238
270750;Porto Real do Colégio (AL);AL;237;77,4;134,0428762;60,91;0,67;72,33;0,566;18355
270760;Quebrangulo (AL);AL;321,3;37;89,40637783;74,72;0,63;61,69;0,574;11902
270770;Rio Largo (AL);AL;310,6;200,9;24,56806901;112,41;0,54;50,32;0,671;62510
270780;Roteiro (AL);AL;129,8;53,8;32,44335686;64,81;0,57;59,02;0,522;6985
270790;Santa Luzia do Norte (AL);AL;28,7;222,3;11,82579433;85,9;0,56;52,79;0,632;6388
270800;Santana do Ipanema (AL);AL;439,6;94,2;168,5452147;94,67;0,71;63,59;0,616;41485
270810;Santana do Mundaú (AL);AL;226,4;50,9;76,89167754;65,57;0,56;56,79;0,558;11534
270890;Satuba (AL);AL;42,7;294,1;15,03574759;129,55;0,56;50,57;0,705;12555
270820;São Brás (AL);AL;140,6;46,6;137,574773;64,62;0,63;63,82;0,606;6551
270830;São José da Laje (AL);AL;273,8;76,9;81,04275317;85,15;0,63;58,13;0,588;21071
270840;São José da Tapera (AL);AL;521,8;52,8;180,73443;43,49;0,74;76,25;0,529;27562
270850;São Luís do Quitunde (AL);AL;405,7;72,7;43,11635523;70,11;0,53;54,87;0,582;29543
270860;São Miguel dos Campos (AL);AL;660,3;78,6;41,34345054;121,78;0,54;45,57;0,671;51456
270870;São Miguel dos Milagres (AL);AL;65,5;89,4;59,5813554;79,89;0,59;56,36;0,621;5860
270880;São Sebastião (AL);AL;307;94,8;94,49451569;71,01;0,68;63,43;0,565;29124
270895;Senador Rui Palmeira (AL);AL;361,2;33,2;197,2684933;41,43;0,71;75,56;0,507;11979
270900;Tanque d'Arca (AL);AL;156,6;42,2;77,91187113;66,34;0,65;67,47;0,586;6594
270910;Taquarana (AL);AL;167,2;101,9;83,50655149;63,43;0,63;66,56;0,583;17046
270915;Teotônio Vilela (AL);AL;299,1;123,2;72,69761235;82,56;0,65;59,76;0,567;36881
270920;Traipu (AL);AL;701,7;33,4;142,9129399;42,03;0,74;77,76;0,479;23439
270930;União dos Palmares (AL);AL;429,6;136,4;64,68455368;91,36;0,57;52,25;0,6;58620
270940;Viçosa (AL);AL;356,4;73,7;64,41690865;90,91;0,67;62,33;0,607;26263
